rental_id,duration,duration_ms,bike_id,bike_model,end_date,end_station_id,end_station_name,start_date,start_station_id,start_station_name,end_station_logical_terminal,start_station_logical_terminal,end_station_priority_id
57931340,1320,1320000,14175,,9/2/2016 12:52:00,,"The Vale, Chelsea",9/2/2016 12:30:00,,"Denyer Street, Knightsbridge",300058,3454,0
58037620,1320,1320000,3464,,9/6/2016 7:00:00,,"Green Street, Mayfair",9/6/2016 6:38:00,,"Ethelburga Estate, Battersea Park",3464,300005,0
57840214,1320,1320000,8523,,8/31/2016 8:40:00,,"Silverthorne Road, Battersea",8/31/2016 8:18:00,,"Imperial Wharf Station, Sands End",200179,300070,0
57933144,1320,1320000,13815,,9/2/2016 13:51:00,,"Parkway, Camden Town",9/2/2016 13:29:00,,"Great Marlborough Street, Soho",200118,1125,0
57883253,1320,1320000,11456,,9/1/2016 9:09:00,,"Russell Square Station, Bloomsbury",9/1/2016 8:47:00,,"Bell Street , Marylebone",978,1166,1
57965256,1320,1320000,11409,,9/3/2016 13:42:00,,"Concert Hall Approach 1, South Bank",9/3/2016 13:20:00,,"Great Tower Street, Monument",2635,1080,1
57903511,1320,1320000,8990,,9/1/2016 18:12:00,,"South Wharf Road, Paddington",9/1/2016 17:50:00,,"Great Russell Street, Bloomsbury",1167,988,1
57844123,1320,1320000,10480,,8/31/2016 9:27:00,,"Horseferry Road, Westminster",8/31/2016 9:05:00,,"Margery Street, Clerkenwell",1170,3468,0
57895428,1320,1320000,5529,,9/1/2016 15:39:00,,"South Wharf Road, Paddington",9/1/2016 15:17:00,,"Clifton Road, Maida Vale",1167,1147,1
58061172,1320,1320000,13063,,9/6/2016 17:46:00,,"Winsland Street, Paddington",9/6/2016 17:24:00,,"Drury Lane, Covent Garden",3496,1007,1
57926475,1320,1320000,3626,,9/2/2016 9:40:00,,"Buckingham Gate, Westminster",9/2/2016 9:18:00,,"Wandsworth Town Station, Wandsworth",200178,200091,0
58055778,1320,1320000,3040,,9/6/2016 15:36:00,,"Somerset House, Strand",9/6/2016 15:14:00,,"St. Katharine's Way, Tower",200068,200049,0
57953413,1320,1320000,2416,,9/3/2016 1:21:00,,"Central House, Aldgate",9/3/2016 0:59:00,,"Soho Square , Soho",3430,1052,0
58004117,1320,1320000,11988,,9/4/2016 20:58:00,,"Podium, Queen Elizabeth Olympic Park",9/4/2016 20:36:00,,"Podium, Queen Elizabeth Olympic Park",300021,300021,1
57900615,1320,1320000,1813,,9/1/2016 17:36:00,,"Sancroft Street, Vauxhall",9/1/2016 17:14:00,,"Bedford Way, Bloomsbury",3434,1156,0
57995750,1320,1320000,2648,,9/4/2016 16:48:00,,"Aldersgate Street, Barbican",9/4/2016 16:26:00,,"Tavistock Street, Covent Garden",1065,1207,1
58071596,1320,1320000,12444,,9/6/2016 20:12:00,,"Greyhound Road, Hammersmith",9/6/2016 19:50:00,,"Porchester Place, Paddington",200215,3477,0
57858272,1320,1320000,5800,,8/31/2016 17:23:00,,"Wormwood Street, Liverpool Street",8/31/2016 17:01:00,,"Horseferry Road, Westminster",2587,1170,1
58047991,1320,1320000,5598,,9/6/2016 10:11:00,,"Ontario Street, Elephant & Castle",9/6/2016 9:49:00,,"Crinan Street, King's Cross",1200,22183,0
57906398,1320,1320000,10637,,9/1/2016 18:43:00,,"Westferry DLR, Limehouse",9/1/2016 18:21:00,,"Lower Thames Street, Monument",200238,1098,0
57877859,1320,1320000,10542,,9/1/2016 7:55:00,,"Old Quebec Street, Marylebone",9/1/2016 7:33:00,,"Halford Road, West Kensington",1085,300210,0
58068152,1320,1320000,7046,,9/6/2016 19:08:00,,"Prince Albert Road, The Regent's Park",9/6/2016 18:46:00,,"Westbourne Park Road, Portobello",2636,300057,0
57850160,1320,1320000,4156,,8/31/2016 13:15:00,,"Winsland Street, Paddington",8/31/2016 12:53:00,,"South Parade, Chelsea",3496,22182,1
58021894,1320,1320000,3949,,9/5/2016 16:59:00,,"Thorndike Close, West Chelsea",9/5/2016 16:37:00,,"William IV Street, Strand",300030,1028,0
57994148,1320,1320000,7607,,9/4/2016 16:10:00,,"Vicarage Crescent, Battersea",9/4/2016 15:48:00,,"Neville Gill Close, Wandsworth",200077,200188,0
58024441,1320,1320000,4894,,9/5/2016 17:49:00,,"Wormwood Street, Liverpool Street",9/5/2016 17:27:00,,"Charles II Street, West End",2587,3488,1
57923724,1320,1320000,7598,,9/2/2016 8:58:00,,"Sun Street, Liverpool Street",9/2/2016 8:36:00,,"Hewison Street, Old Ford",1084,200006,1
57986490,1320,1320000,13534,,9/4/2016 13:11:00,,"Green Park Station, Mayfair",9/4/2016 12:49:00,,"Ashley Crescent, Battersea",200096,200169,1
57943826,1320,1320000,10303,,9/2/2016 18:14:00,,"Bermondsey Street, Bermondsey",9/2/2016 17:52:00,,"Dunston Road , Haggerston",2637,300024,0
57842648,1320,1320000,13563,,8/31/2016 9:06:00,,"Moorfields, Moorgate",8/31/2016 8:44:00,,"Lincoln's Inn Fields, Holborn",1092,300240,1
57888939,1320,1320000,7941,,9/1/2016 12:05:00,,"Black Lion Gate, Kensington Gardens",9/1/2016 11:43:00,,"Park Lane , Hyde Park",1157,1037,1
57991581,1320,1320000,6667,,9/4/2016 15:09:00,,"Buxton Street 1, Shoreditch",9/4/2016 14:47:00,,"Godliman Street, St. Paul's",1223,971,0
58042970,1320,1320000,3570,,9/6/2016 8:48:00,,"Nesham Street, Wapping",9/6/2016 8:26:00,,"Waterloo Station 3, Waterloo",1031,1072,0
57987304,1320,1320000,13293,,9/4/2016 13:30:00,,"Tavistock Street, Covent Garden",9/4/2016 13:08:00,,"Golden Square, Soho",1207,3451,1
57983310,1320,1320000,7196,,9/4/2016 11:44:00,,"Palace Gate, Kensington Gardens",9/4/2016 11:22:00,,"Queen's Gate, Kensington Gardens",1110,1231,0
57967772,1320,1320000,5933,,9/3/2016 14:41:00,,"Prince Albert Road, The Regent's Park",9/3/2016 14:19:00,,"All Saints' Road, Portobello",2636,300026,0
58015286,1320,1320000,5751,,9/5/2016 12:20:00,,"Granby Street, Shoreditch",9/5/2016 11:58:00,,"Blackfriars Road, Southwark",22174,300214,0
57974193,1320,1320000,8390,,9/3/2016 17:17:00,,"Queensbridge Road, Haggerston",9/3/2016 16:55:00,,"Brick Lane Market, Shoreditch",200024,2687,0
57872514,1320,1320000,11969,,8/31/2016 21:30:00,,"Paddington Street, Marylebone",8/31/2016 21:08:00,,"Eaton Square (South), Belgravia",1033,22164,0
57894798,1320,1320000,12712,,9/1/2016 15:18:00,,"Flood Street, Chelsea",9/1/2016 14:56:00,,"Parson's Green , Parson's Green",1218,200237,0
57874455,1320,1320000,13196,,8/31/2016 23:26:00,,"Hampstead Road, Euston",8/31/2016 23:04:00,,"Ilchester Gardens, Bayswater",972,200086,0
57902691,1320,1320000,3502,,9/1/2016 18:02:00,,"Bank of England Museum, Bank",9/1/2016 17:40:00,,"St. Martin's Street, West End",1201,1158,0
57931131,1320,1320000,10787,,9/2/2016 12:45:00,,"Old Quebec Street, Marylebone",9/2/2016 12:23:00,,"Lisson Grove, St. John's Wood",1085,1030,0
57954466,1320,1320000,8186,,9/3/2016 4:46:00,,"Northfields, Wandsworth",9/3/2016 4:24:00,,"Stewart's Road, Wandsworth Road",200204,300055,0
57867295,1320,1320000,5964,,8/31/2016 19:13:00,,"Harford Street, Mile End",8/31/2016 18:51:00,,"River Street , Clerkenwell",200102,1023,0
58040999,1320,1320000,1858,,9/6/2016 8:23:00,,"Exhibition Road Museums, South Kensington",9/6/2016 8:01:00,,"Fulham Park Road, Fulham",22158,200229,0
57965604,1320,1320000,4195,,9/3/2016 13:50:00,,"Drury Lane, Covent Garden",9/3/2016 13:28:00,,"Grosvenor Crescent, Belgravia",1007,1169,1
57903334,1320,1320000,598,,9/1/2016 18:10:00,,"Lollard Street, Vauxhall",9/1/2016 17:48:00,,"Finsbury Library , Finsbury",998,986,0
57976717,1320,1320000,10161,,9/3/2016 21:57:00,,"Portman Square, Marylebone",9/3/2016 21:35:00,,"Crawford Street, Marylebone",200008,1036,0
57891100,1320,1320000,13765,,9/1/2016 13:20:00,,"Selby Street, Whitechapel",9/1/2016 12:58:00,,"Stepney Green Station, Stepney",200135,200012,0
57871382,1320,1320000,6031,,8/31/2016 20:42:00,,"Sheepcote Lane, Battersea",8/31/2016 20:20:00,,"Peterborough Road, Sands End",200176,200171,0
58051579,1320,1320000,13670,,9/6/2016 12:59:00,,"Derry Street, Kensington",9/6/2016 12:37:00,,"Bolsover Street, Fitzrovia",3436,1025,0
58058323,1320,1320000,5730,,9/6/2016 16:53:00,,"Belgrove Street , King's Cross",9/6/2016 16:31:00,,"Butler Place, Westminster",1011,2662,1
58073248,1320,1320000,2242,,9/6/2016 21:09:00,,"Riverlight North, Nine Elms",9/6/2016 20:47:00,,"Rodney Road , Walworth",1165,3481,0
58026471,1320,1320000,12816,,9/5/2016 18:14:00,,"Portman Square, Marylebone",9/5/2016 17:52:00,,"Walmer Road, Avondale",200008,200035,0
57876151,300,300000,12312,,9/1/2016 6:39:00,,"Hollybush Gardens, Bethnal Green",9/1/2016 6:34:00,,"Regent's Row , Haggerston",200244,200064,0
57949340,300,300000,6299,,9/2/2016 20:08:00,,"Howick Place, Westminster",9/2/2016 20:03:00,,"Regency Street, Westminster",2666,1155,1
58013551,300,300000,6769,,9/5/2016 10:03:00,,"Tower Gardens , Tower",9/5/2016 9:58:00,,"Christian Street, Whitechapel",1071,22177,1
57880966,300,300000,5478,,9/1/2016 8:25:00,,"Hop Exchange, The Borough",9/1/2016 8:20:00,,"Great Tower Street, Monument",960,1080,1
57886038,300,300000,10895,,9/1/2016 9:41:00,,"Devonshire Square, Liverpool Street",9/1/2016 9:36:00,,"Clifton Street, Shoreditch",3438,3501,0
58036573,300,300000,6531,,9/6/2016 0:35:00,,"Clarkson Street, Bethnal Green",9/6/2016 0:30:00,,"York Hall, Bethnal Green",200131,200042,0
57971612,300,300000,12990,,9/3/2016 15:48:00,,"Westferry DLR, Limehouse",9/3/2016 15:43:00,,"Flamborough Street, Limehouse",200238,200115,0
58012805,300,300000,7744,,9/5/2016 9:30:00,,"Bermondsey Street, Bermondsey",9/5/2016 9:25:00,,"Borough High Street, The Borough",2637,996,0
57881311,300,300000,14136,,9/1/2016 8:29:00,,"Westferry DLR, Limehouse",9/1/2016 8:24:00,,"Lindfield Street, Poplar",200238,22178,0
58049896,300,300000,13059,,9/6/2016 11:33:00,,"Blackfriars Road, Southwark",9/6/2016 11:28:00,,"Waterloo Bridge, South Bank",300214,2648,0
57974855,300,300000,27,,9/3/2016 18:03:00,,"Canton Street, Poplar",9/3/2016 17:58:00,,"Chrisp Street Market, Poplar",22175,200089,0
58051251,300,300000,6449,,9/6/2016 12:30:00,,"Fulham Park Road, Fulham",9/6/2016 12:25:00,,"Erin Close, Walham Green",200229,200184,0
57859565,300,300000,13517,,8/31/2016 17:24:00,,"Leman Street, Aldgate",8/31/2016 17:19:00,,"Shadwell Station, Shadwell",1102,200020,1
57939773,300,300000,4243,,9/2/2016 16:53:00,,"Pancras Road, King's Cross",9/2/2016 16:48:00,,"St Martins Close, Camden Town",3428,200195,0
58075837,300,300000,2169,,9/6/2016 23:45:00,,"Alma Road, Wandsworth",9/6/2016 23:40:00,,"Mexfield Road, East Putney",300046,200063,0
